Sig_Gene	Cell_type	Level	Rank	Mean	Std	Cell_type_unseparated
Fstl4	Lamp5	0	16	9.785146599356425	7.331110449694745	
Alk	Lamp5	0	17	17.873700381093055	13.721261804631169	
Epha3	Lamp5	0	18	5.122143602061704	3.960345309856212	
Nyap2	Lamp5	0	19	22.712273708772422	17.612114826482863	
Kit	Lamp5	0	20	9.016666723930863	7.169348740802951	
Mgll	Lamp5	0	21	5.727184639069239	4.719935313047339	
Necab1	Lamp5	0	22	6.671440346599943	5.534737064079943	
Atp11c	Lamp5	0	23	3.8755248106104982	3.226643790854116	
Prox1	Lamp5	0	24	3.017700216112333	2.538688741174011	
Egfr	Lamp5	0	25	7.9608854488253735	6.824375259408214	
Disp3	Lamp5	0	26	2.8616811150097026	2.476679576460127	
Hs3st5	Lamp5	0	27	3.879061906530525	3.35984868237368	
Kctd6	Lamp5	0	28	2.1827087726874366	1.898490949231	
